a0 0e 01 65 84 ed a0 02 44 b4 86 b8 43 a9
a0 0e 02 65 84 ed a0 06 46 18 a2 d7 9d a9
a0 0e 03 65 84 ed a0 0c 43 19 61 48 68 a9
a0 0e 01 65 84 fb b0 02 46 08 2b a4 3e a9
a0 0e 02 65 84 fb b0 06 43 47 9e b8 76 a9
a0 0e 03 65 84 fb b0 0c 45 fd ba 14 3f a9
a0 0e 01 65 85 09 c0 02 45 d8 2d 85 6d a9
a0 0e 02 65 85 09 c0 06 45 32 d4 7b 71 a9
a0 0e 03 65 85 09 c0 0c 43 1c a3 d7 57 a9
a0 0e 01 65 85 17 d0 02 45 d9 66 3d 5d a9
a0 0e 02 65 85 17 d0 06 46 11 06 d7 e5 a9
a0 0e 03 65 85 17 d0 0c 44 3f ec cd d6 a9
a0 0e 01 65 85 25 e0 02 43 ad f1 ec 33 a9
a0 0e 02 65 85 25 e0 06 41 3a 8f 5c 95 a9
a0 0e 03 65 85 25 e0 0c 45 ff 89 1f 08 a9
a0 0e 01 65 85 33 f0 02 45 d7 ea 8f 4d a9
a0 0e 02 65 85 33 f0 06 44 78 aa e1 96 a9
a0 0e 03 65 85 33 f0 0c 44 87 c2 8f ba a9
a0 0e 01 65 85 42 00 02 45 f3 5e f6 37 a9
a0 0e 02 65 85 42 00 06 41 04 cc cd e0 a9
a0 0e 03 65 85 42 00 0c 45 d8 4b 33 1c a9
a0 0e 01 65 85 50 10 02 40 ce 66 66 cb a9
a0 0e 02 65 85 50 10 06 45 30 3c 29 c6 a9
a0 0e 03 65 85 50 10 0c 45 ba 40 14 46 a9
a0 0e 01 65 85 5e 20 02 43 bc e2 8f 17 a9
a0 0e 02 65 85 5e 20 06 45 7d f9 9a 2d a9
a0 0e 03 65 85 5e 20 0c 45 9a e4 00 b8 a9
a0 0e 01 65 85 6c 30 02 43 a5 51 ec 44 a9
a0 0e 02 65 85 6c 30 06 43 2e d1 ec 36 a9
a0 0e 03 65 85 6c 30 0c 44 be 65 71 85 a9
a0 0e 01 65 85 7a 40 02 41 78 a3 d7 18 a9
a0 0e 02 65 85 7a 40 06 45 0a ba 66 d7 a9
a0 0e 03 65 85 7a 40 0c 42 cc 6b 85 41 a9
a0 0e 01 65 85 88 50 02 46 04 f6 00 ed a9
a0 0e 02 65 85 88 50 06 43 c2 b1 ec 86 a9
a0 0e 03 65 85 88 50 0c 46 8f ef 33 2a a9
a0 0e 01 65 85 96 60 02 41 3f 85 1f eb a9
a0 0e 02 65 85 96 60 06 45 79 bf 85 08 a9
a0 0e 03 65 85 96 60 0c 43 c3 9d 71 ef a9
a0 0e 01 65 85 a4 70 02 45 5b 0e 8f b4 a9
a0 0e 02 65 85 a4 70 06 3f ea 3d 71 15 a9
a0 0e 03 65 85 a4 70 0c 43 2c 4a 3d ef a9
